source_file,total_records,project_code_present,project_code_missing,project_code_percent,alternate_identifier_present,alternate_identifier_missing,missing_primary_classification,notes
FRApril2025.pdf,1670,0,1670,0.00,1653,17,ALTERNATE_IDENTIFIER_OR_SOURCE_MISSING_ID,"N-prefixed source project code is retained in alternate identifier field"
FR_May2025.pdf,1637,0,1637,0.00,1622,15,ALTERNATE_IDENTIFIER_OR_SOURCE_MISSING_ID,"N-prefixed source project code is retained in alternate identifier field"
FR_JUNE_2025.pdf,1595,0,1595,0.00,1580,15,ALTERNATE_IDENTIFIER_OR_SOURCE_MISSING_ID,"N-prefixed source project code is retained in alternate identifier field"
QPISR_QR_1st_2025-26.pdf,1734,0,1734,0.00,1717,17,ALTERNATE_IDENTIFIER_OR_SOURCE_MISSING_ID,"Quarterly source uses N-prefixed project codes"
FlashReport_July_2025.pdf,791,632,159,79.90,0,791,UNKNOWN,"Manual missing-ID classification pending"
FlashReport_August_2025.pdf,800,0,800,0.00,0,800,LAYOUT_EXTRACTION_FAILURE,"Identifiers visibly leak into project names"
FlashReport_September_2025.pdf,794,649,145,81.74,0,794,LAYOUT_EXTRACTION_FAILURE,"Sampled missing IDs coincide with boundary leakage"
FlashReport_December_2025.pdf,1392,945,447,67.89,0,1392,LAYOUT_EXTRACTION_FAILURE,"Sampled missing IDs coincide with boundary leakage"
FlashReport_January_2026.pdf,1702,1114,588,65.45,0,1702,LAYOUT_EXTRACTION_FAILURE,"Sampled missing IDs coincide with boundary leakage"
FlashReport_February_2026.pdf,1948,1624,324,83.37,922,1026,UNKNOWN,"Missing-ID sample classification pending"
FlashReport_March_2026.pdf,1941,1618,323,83.36,922,1019,UNKNOWN,"Missing-ID sample classification pending"
FlashReport_April2026.pdf,1981,1794,187,90.56,1000,981,ALTERNATE_IDENTIFIER_OR_UNKNOWN,"Manual category review still needed for 187 missing primary IDs"
FlashReport_May2026.pdf,1987,1799,188,90.54,988,999,LAYOUT_EXTRACTION_FAILURE_OR_UNKNOWN,"Handler fails difficult boundary sample"
FlashReport_June_2026.pdf,1847,1671,176,90.47,0,1847,LAYOUT_EXTRACTION_FAILURE_OR_UNKNOWN,"Handler fails difficult boundary sample"
FlashReport_July_2026-1.pdf,1775,1602,173,90.25,0,1775,UNKNOWN,"Manual category review pending"
