filename,report_month,report_type,format_class,handler,pilot_status,record_count,source_count,count_difference,project_code_coverage,manual_validation_status,page_break_status,numeric_validation_status,risk,notes
FRApril2025.pdf,2025-04,MONTHLY,EARLY_FORMAT,extract_early_format,PASS_WITH_WARNINGS,1670,1670,0,0/1670 (alternate 1653),SAMPLED_SOURCE_VERIFIED,PASS,SAMPLED_PASS,MEDIUM,"Table 7 pages 43-268; wrapped-state fix applied; full 10-record fixture pending"
FR_May2025.pdf,2025-05,MONTHLY,EARLY_FORMAT,extract_early_format,PASS_WITH_WARNINGS,1637,1637,0,0/1637 (alternate 1622),SAMPLED_SOURCE_VERIFIED,PASS,SAMPLED_PASS,MEDIUM,"Table 7 pages 43-207; shared nine-column layout; full fixture pending"
FR_JUNE_2025.pdf,2025-06,MONTHLY,EARLY_FORMAT,extract_early_format,PASS_WITH_WARNINGS,1595,1595,0,0/1595 (alternate 1580),SAMPLED_SOURCE_VERIFIED,PASS,SAMPLED_PASS,MEDIUM,"Table 7 pages 41-229; shared nine-column layout; full fixture pending"
QPISR_QR_1st_2025-26.pdf,2025-Q1,QUARTERLY,QUARTERLY,extract_quarterly_format,PASS_WITH_WARNINGS,1734,1734,0,0/1734 (alternate 1717),SAMPLED_SOURCE_VERIFIED,PASS,SAMPLED_PASS,MEDIUM,"Table 7 pages 59-256; April-June quarterly snapshot; keep separate from monthly"
FlashReport_July_2025.pdf,2025-07,MONTHLY,OLD_FORMAT_A,extract_table6,NOT_YET_TESTED,791,791,0,632/791,PRIOR_CLAIM_NOT_REPRODUCIBLE,NOT_YET_TESTED,NOT_YET_TESTED,HIGH,"Consecutive serials only; requested source-verified golden fixture is absent"
FlashReport_August_2025.pdf,2025-08,MONTHLY,OLD_FORMAT_B,extract_table6,FAIL,800,800,0,0/800,FAIL,FAIL,FAIL,HIGH,"Parenthetical identifiers and costs leak into following names; no primary IDs extracted"
FlashReport_September_2025.pdf,2025-09,MONTHLY,TRANSITIONAL_FORMAT,extract_table6,FAIL,794,794,0,649/794,FAIL,FAIL,FAIL,HIGH,"Sample records show identifier/name boundary leakage"
FlashReport_October_2025.pdf,2025-10,MONTHLY,TRANSITIONAL_FORMAT,extract_table6,NOT_YET_TESTED,,,,,NOT_YET_TESTED,NOT_YET_TESTED,NOT_YET_TESTED,HIGH,"Not rerun; prior audit count was approximate"
FlashReport_November_2025.pdf,2025-11,MONTHLY,TRANSITIONAL_FORMAT,extract_table6,NOT_YET_TESTED,,,,,NOT_YET_TESTED,NOT_YET_TESTED,NOT_YET_TESTED,HIGH,"Not rerun; prior audit count was approximate"
FlashReport_December_2025.pdf,2025-12,MONTHLY,TRANSITIONAL_FORMAT,extract_table6,FAIL,1392,1392,0,945/1392,FAIL,FAIL,FAIL,HIGH,"Sampled difficult records require dedicated boundary repair"
FlashReport_January_2026.pdf,2026-01,MONTHLY,TRANSITIONAL_FORMAT,extract_table6,FAIL,1702,1702,0,1114/1702,FAIL,FAIL,FAIL,HIGH,"Multiple sampled names contain preceding-record identifiers/text"
FlashReport_February_2026.pdf,2026-02,MONTHLY,NEW_FORMAT_A,extract_table6,NOT_YET_TESTED,1948,1948,0,1624/1948 (alternate 922),PRIOR_CLAIM_NOT_REPRODUCIBLE,NOT_YET_TESTED,NOT_YET_TESTED,HIGH,"Routing retained; no source-verified fixture exists in checkout"
FlashReport_March_2026.pdf,2026-03,MONTHLY,NEW_FORMAT_A,extract_table6,NOT_YET_TESTED,1941,1941,0,1618/1941 (alternate 922),PRIOR_CLAIM_NOT_REPRODUCIBLE,NOT_YET_TESTED,NOT_YET_TESTED,HIGH,"Routing retained; no source-verified fixture exists in checkout"
FlashReport_April2026.pdf,2026-04,MONTHLY,NEW_FORMAT_B,extract_new_format_b,PASS_WITH_WARNINGS,1981,1981,0,1794/1981 (alternate 1000),PASS_10_GOLDEN,PASS,PASS,LOW,"Table 6 pages 54-162; 31 printed group totals sum to 1981; 2 duplicate primary-code occurrences and 54 repeated alternate IDs"
FlashReport_May2026.pdf,2026-05,MONTHLY,NEW_FORMAT_B,extract_new_format_b,FAIL,1987,1987,0,1799/1987 (alternate 988),FAIL,FAIL,FAIL,HIGH,"Difficult sampled record 1490 contains prior-row state/identifier pollution"
FlashReport_June_2026.pdf,2026-06,MONTHLY,NEW_FORMAT_B,extract_new_format_b,FAIL,1847,1847,0,1671/1847,FAIL,FAIL,FAIL,HIGH,"Difficult sampled record 923 contains preceding-row text/identifiers"
FlashReport_July_2026-1.pdf,2026-07,MONTHLY,NEW_FORMAT_B,extract_new_format_b,PASS_WITH_WARNINGS,1775,1775,0,1602/1775,SAMPLED_SOURCE_VERIFIED,PASS,SAMPLED_PASS,MEDIUM,"No alternate IDs in source layout; full 10-record fixture pending"
