feature_name,category,definition,source_fields,available_at_cutoff,uses_future_information,status,notes
state,static,State printed at cutoff,state,True,False,CONDITIONAL,Categorical value can be missing or corrected in a later publication.
sector,static,Sector printed at cutoff,sector,True,False,SAFE,Snapshot category.
ministry,static,Ministry printed at cutoff,ministry,True,False,CONDITIONAL,Missing in some source generations.
agency,static,Agency printed at cutoff,agency,True,False,CONDITIONAL,Missing in some source generations.
project_age_months,static,"Months from cutoff-published start date, else approval date, to report month","start_date,date_of_approval,report_month",True,False,CONDITIONAL,Preserved missing; later corrections are not backfilled.
progress_current,current,Physical progress printed at cutoff,physical_progress,True,False,SAFE,Missing preserved.
expenditure_current,current,Cumulative expenditure printed at cutoff,expenditure,True,False,SAFE,Missing preserved.
original_cost_current,current,Original cost printed at cutoff,original_cost,True,False,SAFE,Current publication only.
revised_cost_current,current,Revised cost already printed at cutoff,revised_cost,True,False,CONDITIONAL,Never backfilled from a future report.
effective_target_months_from_cutoff,current,Cutoff-known effective target minus report month,"original_doc,revised_doc,report_month",True,False,CONDITIONAL,Uses revised DoC only when published by cutoff.
progress_change_1m,historical,Current progress minus exact t-1 progress,"physical_progress,report_month",True,False,SAFE,Requires exact prior month.
progress_change_3m,historical,Current progress minus exact t-3 progress,"physical_progress,report_month",True,False,SAFE,Requires exact three-month lag.
progress_velocity_3m,historical,Progress change over exact three months divided by 3,"physical_progress,report_month",True,False,SAFE,Backward-looking.
progress_acceleration_3m,historical,Current one-month progress change minus prior one-month change,"physical_progress,report_month",True,False,SAFE,"Uses t, t-1 and t-2 only."
expenditure_change_1m,historical,Current expenditure minus exact t-1 expenditure,"expenditure,report_month",True,False,SAFE,Requires exact prior month.
expenditure_change_3m,historical,Current expenditure minus exact t-3 expenditure,"expenditure,report_month",True,False,SAFE,Requires exact three-month lag.
expenditure_velocity_3m,historical,Expenditure change over exact three months divided by 3,"expenditure,report_month",True,False,SAFE,Backward-looking.
cost_revision_count_to_date,historical,Count of effective-cost changes through cutoff,"original_cost,revised_cost",True,False,SAFE,Expanding count stops at cutoff.
last_cost_revision_pct,historical,Latest effective-cost percentage change observed by cutoff,"original_cost,revised_cost",True,False,CONDITIONAL,Missing until a valid prior cost exists.
months_since_cost_revision,recency,Months since latest effective-cost change known at cutoff,"original_cost,revised_cost,report_month",True,False,SAFE,Missing before first revision.
schedule_revision_count_to_date,historical,Count of effective-target changes through cutoff,"original_doc,revised_doc",True,False,SAFE,Expanding count stops at cutoff.
months_since_schedule_revision,recency,Months since latest effective-target change known at cutoff,"original_doc,revised_doc,report_month",True,False,SAFE,Missing before first revision.
months_since_material_progress_change,recency,Months since latest absolute progress change of at least one point,"physical_progress,report_month",True,False,SAFE,Missing before first material change.
expenditure_to_original_cost,ratio,Cutoff expenditure divided by cutoff original cost,"expenditure,original_cost",True,False,SAFE,Missing for zero/missing denominator.
expenditure_to_revised_cost,ratio,Cutoff expenditure divided by cutoff revised cost,"expenditure,revised_cost",True,False,CONDITIONAL,Available only when revised cost is already published.
cost_revision_pct_current,ratio,Cutoff effective cost versus cutoff original cost,"original_cost,revised_cost",True,False,CONDITIONAL,"Snapshot revision magnitude, not a formal approval event."
months_observed,recency,Number of observations through cutoff,"identity_key,report_month",True,False,SAFE,Expanding count only.
months_since_first_observation,recency,Calendar months since first observed report through cutoff,"identity_key,report_month",True,False,SAFE,No final-history knowledge.
revised_cost_missing,missingness,One when revised cost is absent at cutoff,revised_cost,True,False,SAFE,Missingness is retained rather than imputed.
progress_missing,missingness,One when physical progress is absent at cutoff,physical_progress,True,False,SAFE,Missingness is retained rather than imputed.
future_revised_cost,rejected,Revised cost from after cutoff,future revised_cost,False,True,UNSAFE,Target-window information; excluded.
future_revised_completion,rejected,Revised DoC from after cutoff,future revised_doc,False,True,UNSAFE,Target-window information; excluded.
full_history_revision_count,rejected,Revision count across complete dataset,all project months,False,True,UNSAFE,Leaks observations after cutoff; excluded.
last_observed_value,rejected,Final observed project value,all project months,False,True,UNSAFE,Leaks dataset availability; excluded.
